Afghanistan,502237
Aland Islands,502238
Albania,502239
Algeria,502240
American Samoa,502241
Andorra,502242
Angola,502243
Anguilla,502244
Antarctica,502245
Antigua and Barbuda,502246
Argentina,502247
Armenia,502248
Aruba,502249
Australia,502250
Austria,502251
Azerbaijan,502252
Bahamas,502253
Bahrain,502254
Bangladesh,502255
Barbados,502256
Belarus,502257
Belgium,502258
Belize,502259
Benin,502260
Bermuda,502261
Bhutan,502262
Bolivia,502263
"Bonaire, Saint Eustatius and Saba",502264
Bosnia and Herzegovina,502265
Botswana,502266
Bouvet Island,502267
Brazil,502268
British Indian Ocean Territory,502269
British Virgin Islands,502270
Brunei,502271
Bulgaria,502272
Burkina Faso,502273
Burundi,502274
Cambodia,502275
Cameroon,502276
Canada,502277
Cape Verde,502278
Cayman Islands,502279
Central African Republic,502280
Chad,502281
Chile,502282
China,502283
Christmas Island,502284
Cocos Islands,502285
Colombia,502286
Comoros,502287
Cook Islands,502288
Costa Rica,502289
Croatia,502290
Cuba,502291
Curacao,502292
Cyprus,502293
Czech Republic,502294
Democratic Republic of the Congo,502295
Denmark,502296
Djibouti,502297
Dominica,502298
Dominican Republic,502299
East Timor,502300
Ecuador,502301
Egypt,502302
El Salvador,502303
Equatorial Guinea,502304
Eritrea,502305
Estonia,502306
Ethiopia,502307
Falkland Islands,502308
Faroe Islands,502309
Fiji,502310
Finland,502311
France,502312
French Guiana,502313
French Polynesia,502314
French Southern Territories,502315
Gabon,502316
Gambia,502317
Georgia,502318
Germany,502319
Ghana,502320
Gibraltar,502321
Greece,502322
Greenland,502323
Grenada,502324
Guadeloupe,502325
Guam,502326
Guatemala,502327
Guernsey,502328
Guinea,502329
Guinea-Bissau,502330
Guyana,502331
Haiti,502332
Heard Island and McDonald Islands,502333
Honduras,502334
Hong Kong,502335
Hungary,502336
Iceland,502337
India,502338
Indonesia,502339
Iran,502340
Iraq,502341
Ireland,502342
Isle of Man,502343
Israel,502344
Italy,502345
Ivory Coast,502346
Jamaica,502347
Japan,502348
Jersey,502349
Jordan,502350
Kazakhstan,502351
Kenya,502352
Kiribati,502353
Kosovo,502354
Kuwait,502355
Kyrgyzstan,502356
Laos,502357
Latvia,502358
Lebanon,502359
Lesotho,502360
Liberia,502361
Libya,502362
Liechtenstein,502363
Lithuania,502364
Luxembourg,502365
Macao,502366
Macedonia,502367
Madagascar,502368
Malawi,502369
Malaysia,502370
Maldives,502371
Mali,502372
Malta,502373
Marshall Islands,502374
Martinique,502375
Mauritania,502376
Mauritius,502377
Mayotte,502378
Mexico,502379
Micronesia,502380
Moldova,502381
Monaco,502382
Mongolia,502383
Montenegro,502384
Montserrat,502385
Morocco,502386
Mozambique,502387
Myanmar,502388
Namibia,502389
Nauru,502390
Nepal,502391
Netherlands,502392
Netherlands Antilles,502393
New Caledonia,502394
New Zealand,502395
Nicaragua,502396
Niger,502397
Nigeria,502398
Niue,502399
Norfolk Island,502400
North Korea,502401
Northern Mariana Islands,502402
Norway,502403
Oman,502404
Pakistan,502405
Palau,502406
Palestinian Territory,502407
Panama,502408
Papua New Guinea,502409
Paraguay,502410
Peru,502411
Philippines,502412
Pitcairn,502413
Poland,502414
Portugal,502415
Puerto Rico,502416
Qatar,502417
Republic of the Congo,502418
Reunion,502419
Romania,502420
Russia,502421
Rwanda,502422
Saint Barthelemy,502423
Saint Helena,502424
Saint Kitts and Nevis,502425
Saint Lucia,502426
Saint Martin,502427
Saint Pierre and Miquelon,502428
Saint Vincent and the Grenadines,502429
Samoa,502430
San Marino,502431
Sao Tome and Principe,502432
Saudi Arabia,502433
Senegal,502434
Serbia,502435
Serbia and Montenegro,502436
Seychelles,502437
Sierra Leone,502438
Singapore,502439
Sint Maarten,502440
Slovakia,502441
Slovenia,502442
Solomon Islands,502443
Somalia,502444
South Africa,502445
South Georgia and the South Sandwich Islands,502446
South Korea,502447
South Sudan,502448
Spain,502449
Sri Lanka,502450
Sudan,502451
Suriname,502452
Svalbard and Jan Mayen,502453
Swaziland,502454
Sweden,502455
Switzerland,502456
Syria,502457
Taiwan,502458
Tajikistan,502459
Tanzania,502460
Thailand,502461
Togo,502462
Tokelau,502463
Tonga,502464
Trinidad and Tobago,502465
Tunisia,502466
Turkey,502467
Turkmenistan,502468
Turks and Caicos Islands,502469
Tuvalu,502470
U.S. Virgin Islands,502471
Uganda,502472
Ukraine,502473
United Arab Emirates,502474
United Kingdom,502475
United States,502476
United States Minor Outlying Islands,502477
Uruguay,502478
Uzbekistan,502479
Vanuatu,502480
Vatican,502481
Venezuela,502482
Vietnam,502483
Wallis and Futuna,502484
Western Sahara,502485
Yemen,502486
Zambia,502487
Zimbabwe,502488
